DocType: Accounting Period,Period Name,期间名称
DocType: Issue,Opening Date,问题提交日期
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js +89,Please save the patient first,请先保存患者
apps/erpnext/erpnext/education/api.py +80,Attendance has been marked successfully.,考勤登记成功。
DocType: Program Enrollment,Public Transport,公共交通
DocType: Soil Texture,Silt Composition (%),粉尘成分（％）
DocType: Journal Entry,Remark,备注
DocType: Healthcare Settings,Avoid Confirmation,避免确认
DocType: Purchase Receipt Item,Rate and Amount,单价及小计
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +177,Account Type for {0} must be {1},{0}的科目类型必须为{1}
apps/erpnext/erpnext/config/hr.py +34,Leaves and Holiday,休假与节假日
DocType: Education Settings,Current Academic Term,当前学期
DocType: Sales Order,Not Billed,未开票
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +76,Both Warehouse must belong to same Company,两个仓库必须属于同一公司
DocType: Employee Grade,Default Leave Policy,默认休假政策
DocType: Shopify Settings,Shop URL,商店网址
apps/erpnext/erpnext/public/js/templates/contact_list.html +34,No contacts added yet.,联系人尚未添加。
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py +88,Please setup numbering series for Attendance via Setup &gt; Numbering Series,请通过设置&gt;系统流水号设置考勤系统流水号
DocType: Purchase Invoice Item,Landed Cost Voucher Amount,采购费用金额
,Item Balance (Simple),物料余额（简单）
apps/erpnext/erpnext/config/accounts.py +17,Bills raised by Suppliers.,供应商开出的账单
DocType: POS Profile,Write Off Account,销帐科目
DocType: Patient Appointment,Get prescribed procedures,获取规定的程序
DocType: Sales Invoice,Redemption Account,积分兑换科目
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +233,Debit Note Amt,扣款金额
DocType: Purchase Invoice Item,Discount Amount,折扣金额
DocType: Purchase Invoice,Return Against Purchase Invoice,基于采购发票退货
DocType: Item,Warranty Period (in days),保修期限（天数）
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +66,Failed to set defaults,设置默认值失败
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py +56,Relation with Guardian1,与关系Guardian1
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +865,Please select BOM against item {0},请选择物料{0}的物料清单
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js +18,Make Invoices,创建发票
DocType: Shopping Cart Settings,Show Stock Quantity,显示库存数量
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +77,Net Cash from Operations,运营净现金
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js +26,Item 4,物料4
DocType: Student Admission,Admission End Date,录取结束日期
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order_dashboard.py +30,Sub-contracting,分包
DocType: Journal Entry Account,Journal Entry Account,会计凭证帐号
apps/erpnext/erpnext/education/doctype/academic_year/academic_year.js +3,Student Group,班级
DocType: Shopping Cart Settings,Quotation Series,报价单系统流水号
apps/erpnext/erpnext/setup/doctype/item_group/item_group.py +60,"An item exists with same name ({0}), please change the item group name or rename the item",具有名称 {0} 的物料已存在，请更名
DocType: Soil Analysis Criteria,Soil Analysis Criteria,土壤分析标准
apps/erpnext/erpnext/accounts/page/pos/pos.js +2054,Please select customer,请选择客户
DocType: C-Form,I,我
DocType: Company,Asset Depreciation Cost Center,资产折旧成本中心
DocType: Production Plan Sales Order,Sales Order Date,销售订单日期
DocType: Sales Invoice Item,Delivered Qty,已出货数量
DocType: Assessment Plan,Assessment Plan,评估计划
DocType: Travel Request,Fully Sponsored,完全赞助
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +28,Reverse Journal Entry,冲销会计凭证
apps/erpnext/erpnext/healthcare/doctype/patient/patient.py +90,Customer {0} is created.,客户{0}已创建。
DocType: Stock Settings,Limit Percent,限制百分比
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +82, Currently no stock available in any warehouse,当前无库存
,Payment Period Based On Invoice Date,应收付款帐龄(基于发票日)
DocType: Sample Collection,No. of print,打印数量
DocType: Hotel Room Reservation Item,Hotel Room Reservation Item,酒店房间预订项目
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +58,Missing Currency Exchange Rates for {0},{0}没有货币汇率
DocType: Employee Health Insurance,Health Insurance Name,医保名称
DocType: Assessment Plan,Examiner,考官
DocType: Student,Siblings,亲属
DocType: Journal Entry,Stock Entry,库存移动
DocType: Payment Entry,Payment References,付款参考
DocType: Subscription Plan,"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days",间隔字段的间隔数，例如，如果间隔为&#39;天数&#39;并且计费间隔计数为3，则会每3天生成一次发票
DocType: Clinical Procedure Template,Allow Stock Consumption,允许库存消耗
DocType: Asset,Insurance Details,保险信息
DocType: Account,Payable,应付帐款
DocType: Share Balance,Share Type,分享类型
apps/erpnext/erpnext/hr/doctype/loan/loan.py +123,Please enter Repayment Periods,请输入还款期
apps/erpnext/erpnext/shopping_cart/cart.py +378,Debtors ({0}),债务人（{0}）
DocType: Pricing Rule,Margin,加价
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py +57,New Customers,新客户
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py +72,Gross Profit %,毛利％
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py +90,Appointment {0} and Sales Invoice {1} cancelled,预约{0}和销售发票{1}已取消
DocType: Appraisal Goal,Weightage (%),权重（％）
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js +555,Change POS Profile,更改POS配置文件
DocType: Bank Reconciliation Detail,Clearance Date,清帐日期
apps/erpnext/erpnext/stock/doctype/item/item.py +722,"Asset is already exists against the item {0}, you cannot change the has serial no value",资产已关联物料{0}，您无法更改有序列号字段值
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html +10,Assessment Report,评估报表
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js +26,Get Employees,获取员工
apps/erpnext/erpnext/assets/doctype/asset/asset.py +72,Gross Purchase Amount is mandatory,总消费金额字段必填
apps/erpnext/erpnext/setup/doctype/company/company.js +115,Company name not same,公司名称不一样
DocType: Lead,Address Desc,地址倒序
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +114,Party is mandatory,请输入往来单位
apps/erpnext/erpnext/controllers/accounts_controller.py +775,Rows with duplicate due dates in other rows were found: {list},在其他行中找到具有重复到期日的行：{list}
DocType: Topic,Topic Name,主题名称
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +312,Please set default template for Leave Approval Notification in HR Settings.,请在人力资源设置中为离职审批通知设置默认模板。
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +38,Atleast one of the Selling or Buying must be selected,必须至少选择'销售'或'采购'其中的一项
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +308,Select an employee to get the employee advance.,获取员工预付款前请先选择员工。
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js +56,Please select a valid Date,请选择一个有效日期
apps/erpnext/erpnext/public/js/setup_wizard.js +36,Select the nature of your business.,选择您的业务性质。
DocType: Lab Test Template,"Single for results which require only a single input, result UOM and normal value <br>Compound for results which require multiple input fields with corresponding event names, result UOMs and normal values<br>Descriptive for tests which have multiple result components and corresponding result entry fields. <br>Grouped for test templates which are a group of other test templates.<br>No Result for tests with no results. Also, no Lab Test is created. e.g.. Sub Tests for Grouped results.",单一的结果只需要一个输入，结果UOM和正常值<br>对于需要具有相应事件名称的多个输入字段的结果的化合物，结果为UOM和正常值<br>具有多个结果组件和相应结果输入字段的测试的描述。 <br>分组为一组其他测试模板的测试模板。 <br>没有没有结果的测试结果。此外，没有创建化验。例如。分组测试的子测试。
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +87,Row #{0}: Duplicate entry in References {1} {2},行＃{0}：有重复参考凭证{1} {2}
apps/erpnext/erpnext/config/manufacturing.py +57,Where manufacturing operations are carried.,生产流程进行的地方。
apps/erpnext/erpnext/education/doctype/instructor/instructor.js +39,As Examiner,考官
DocType: Company,Default Expense Claim Payable Account,默认费用报销应付帐款科目
DocType: Appointment Type,Default Duration,默认时长
DocType: BOM Explosion Item,Source Warehouse,发料仓
DocType: Installation Note,Installation Date,安装日期
apps/erpnext/erpnext/accounts/doctype/shareholder/shareholder.js +30,Share Ledger,股份台帐
apps/erpnext/erpnext/controllers/accounts_controller.py +661,Row #{0}: Asset {1} does not belong to company {2},行＃{0}：资产{1}不属于公司{2}
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js +114,Sales Invoice {0} created,已创建销售发票{0}
DocType: Employee,Confirmation Date,确认日期
DocType: Inpatient Occupancy,Check Out,查看
DocType: C-Form,Total Invoiced Amount,发票金额
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +51,Min Qty can not be greater than Max Qty,最小数量不能大于最大数量
DocType: Soil Texture,Silty Clay,粉泥
DocType: Account,Accumulated Depreciation,累计折旧
DocType: Supplier Scorecard Scoring Standing,Standing Name,排名
DocType: Stock Entry,Customer or Supplier Details,客户或供应商详细信息
DocType: Payment Entry,ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
DocType: Asset Value Adjustment,Current Asset Value,资产现值
DocType: Travel Request,Travel Funding,出差经费来源
DocType: Loan Application,Required by Date,需求日期
DocType: Crop Cycle,A link to all the Locations in which the Crop is growing,指向作物生长的所有位置的链接
DocType: Lead,Lead Owner,线索负责人
DocType: Production Plan,Sales Orders Detail,销售订单信息
DocType: Bin,Requested Quantity,需求数量
DocType: Fees,EDU-FEE-.YYYY.-,EDU-收费.YYYY.-
DocType: Patient,Marital Status,婚姻状况
DocType: Stock Settings,Auto Material Request,自动物料需求
DocType: Woocommerce Settings,API consumer secret,API消费者秘密
DocType: Delivery Note Item,Available Batch Qty at From Warehouse,发料仓可用批号数量
DocType: Salary Slip,Gross Pay - Total Deduction - Loan Repayment,工资总额 - 扣除总额 - 贷款还款
DocType: Bank Account,IBAN,IBAN
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.py +32,Current BOM and New BOM can not be same,当前和新物料清单不能相同
apps/erpnext/erpnext/hr/report/salary_register/salary_register.py +47,Salary Slip ID,工资单编号
apps/erpnext/erpnext/hr/doctype/employee/employee.py +128,Date Of Retirement must be greater than Date of Joining,退休日期必须大于入职日期
apps/erpnext/erpnext/stock/doctype/item/item.js +70,Multiple Variants,多个实物料号
DocType: Sales Invoice,Against Income Account,收入账目
apps/erpnext/erpnext/controllers/website_list_for_contact.py +117,{0}% Delivered,{0}％已出货
DocType: Subscription,Trial Period Start Date,试用期开始日期
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py +106,Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,物料{0}的订单数量{1}不能小于最低订货量{2}（物料主数据中定义）。
DocType: Certification Application,Certified,认证
DocType: Monthly Distribution Percentage,Monthly Distribution Percentage,月度分摊比例
DocType: Daily Work Summary Group User,Daily Work Summary Group User,每日工作总结组用户
DocType: Territory,Territory Targets,区域目标
DocType: Soil Analysis,Ca/Mg,钙/镁
DocType: Delivery Note,Transporter Info,承运商信息
apps/erpnext/erpnext/accounts/utils.py +526,Please set default {0} in Company {1},请设置在默认情况下公司{0} {1}
DocType: Cheque Print Template,Starting position from top edge,起价顶边位置
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py +33,Same supplier has been entered multiple times,同一个供应商已多次输入
apps/erpnext/erpnext/accounts/report/profitability_analysis/profitability_analysis.py +152,Gross Profit / Loss,总利润/亏损
,Warehouse wise Item Balance Age and Value,仓库级物料库龄和金额报表
DocType: Purchase Order Item Supplied,Purchase Order Item Supplied,采购订单外发物料
apps/erpnext/erpnext/public/js/setup_wizard.js +94,Company Name cannot be Company,公司名称不能为公司
apps/erpnext/erpnext/config/setup.py +27,Letter Heads for print templates.,打印模板的表头。
apps/erpnext/erpnext/config/setup.py +32,Titles for print templates e.g. Proforma Invoice.,标题打印模板例如形式发票。
DocType: Program Enrollment,Walking,步行
DocType: Student Guardian,Student Guardian,学生监护人
DocType: Member,Member Name,成员名字
DocType: Stock Settings,Use Naming Series,启用系统流水号
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +231,Valuation type charges can not marked as Inclusive,估值类型罪名不能标记为包容性
DocType: POS Profile,Update Stock,更新库存
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +100,Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,不同单位的物料会导致不正确的（总）净重值。请确保每个物料的净重使用同一个单位。
DocType: Certification Application,Payment Details,付款信息
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py +40,BOM Rate,BOM税率
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py +249,"Stopped Work Order cannot be cancelled, Unstop it first to cancel",停止的工单不能取消，先取消停止
DocType: Asset,Journal Entry for Scrap,报废记帐会计凭证
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py +83,Please pull items from Delivery Note,请从销售出货单获取物料
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py +242,Row {0}: select the workstation against the operation {1},请为第{0}行的工序{1}选择工站
apps/erpnext/erpnext/accounts/utils.py +496,Journal Entries {0} are un-linked,会计凭证{0}没有关联
apps/erpnext/erpnext/accounts/utils.py +825,{0} Number {1} already used in account {2},{0}号码{1}已经在账号{2}中使用
apps/erpnext/erpnext/config/crm.py +92,"Record of all communications of type email, phone, chat, visit, etc.",包含电子邮件，电话，聊天，访问等所有通信记录
DocType: Supplier Scorecard Scoring Standing,Supplier Scorecard Scoring Standing,供应商记分卡
DocType: Manufacturer,Manufacturers used in Items,物料的制造商
apps/erpnext/erpnext/accounts/general_ledger.py +181,Please mention Round Off Cost Center in Company,请为公司指定舍入调整记帐成本中心
DocType: Purchase Invoice,Terms,贸易条款
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js +10,Select Days,选择天数
DocType: Academic Term,Term Name,学期名
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +365,Credit ({0}),贷方（{0}）
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py +499,Creating Salary Slips...,创建工资单......
apps/erpnext/erpnext/hr/doctype/department/department.js +14,You cannot edit root node.,您不能编辑根节点。
DocType: Buying Settings,Purchase Order Required,需要采购订单
apps/erpnext/erpnext/public/js/projects/timer.js +5,Timer,计时器
,Item-wise Sales History,物料销售历史
DocType: Expense Claim,Total Sanctioned Amount,总核准金额
,Purchase Analytics,采购统计分析
DocType: Sales Invoice Item,Delivery Note Item,销售出货单项
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py +363,Current invoice {0} is missing,当前发票{0}缺失
DocType: Asset Maintenance Log,Task,任务
DocType: Purchase Taxes and Charges,Reference Row #,参考行＃
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +76,Batch number is mandatory for Item {0},物料{0}必须指定批号
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.js +13,This is a root sales person and cannot be edited.,这是不能被编辑的树形结构的根结点。
DocType: Salary Component,"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ",如果勾选，则此薪资构成项中指定或计算的值不影响收入或扣除。但是，其值可被其它添加或扣除薪资构成项引用。
DocType: Asset Settings,Number of Days in Fiscal Year,财年天数
,Stock Ledger,库存移动明细
apps/erpnext/erpnext/templates/includes/cart/cart_items.html +29,Rate: {0},价格：{0}
DocType: Company,Exchange Gain / Loss Account,汇兑损益科目
DocType: Amazon MWS Settings,MWS Credentials,MWS凭证
apps/erpnext/erpnext/config/hr.py +7,Employee and Attendance,员工考勤
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +131,Purpose must be one of {0},目的必须是一个{0}
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +99,Fill the form and save it,填写表格并保存
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html +26,Community Forum,社区论坛
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js +52,Actual qty in stock,实际库存数量
DocType: Homepage,"URL for ""All Products""",网址“所有产品”
DocType: Leave Application,Leave Balance Before Application,申请前剩余天数
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js +41,Send SMS,发送短信
DocType: Supplier Scorecard Criteria,Max Score,最高分数
DocType: Cheque Print Template,Width of amount in word,文字表示的金额输出宽度
DocType: Company,Default Letter Head,默认表头
DocType: Purchase Order,Get Items from Open Material Requests,从未完成物料申请获取物料
DocType: Hotel Room Amenity,Billable,可开票
DocType: Lab Test Template,Standard Selling Rate,标准售价
DocType: Account,Rate at which this tax is applied,此科目的默认税率
DocType: Cash Flow Mapper,Section Name,部分名称
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +85,Reorder Qty,重订货订单数量
apps/erpnext/erpnext/assets/doctype/asset/asset.py +283,Depreciation Row {0}: Expected value after useful life must be greater than or equal to {1},折旧行{0}：使用寿命后的预期值必须大于或等于{1}
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py +55,Current Job Openings,当前职位空缺
DocType: Company,Stock Adjustment Account,库存调整科目
apps/erpnext/erpnext/public/js/payment/pos_payment.html +17,Write Off,内部销账
DocType: Healthcare Service Unit,Allow Overlap,允许重叠
DocType: Timesheet Detail,Operation ID,工序ID
DocType: Employee,"System User (login) ID. If set, it will become default for all HR forms.",系统用户的（登录）ID，将作为人力资源表单的默认ID。
apps/erpnext/erpnext/assets/doctype/asset/asset.py +86,Enter depreciation details,输入折旧信息
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +16,{0}: From {1},{0}：来自{1}
DocType: Task,depends_on,
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.py +71,Queued for updating latest price in all Bill of Materials. It may take a few minutes.,已启用后台程序更新所有物料清单中的最新价格。可能需要几分钟。
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +26,Name of new Account. Note: Please don't create accounts for Customers and Suppliers,新科目的名称。注：请不要创建科目的客户和供应商
DocType: POS Profile,Display Items In Stock,显示库存商品
apps/erpnext/erpnext/config/setup.py +37,Country wise default Address Templates,国家的默认地址模板
DocType: Payment Order,Payment Order Reference,付款订单参考
DocType: Water Analysis,Appearance,出现
DocType: HR Settings,Leave Status Notification Template,休假状态通知模板
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py +77,Avg. Buying Price List Rate,平均采购标价
DocType: Sales Order Item,Supplier delivers to Customer,供应商直接出货给客户
apps/erpnext/erpnext/config/non_profit.py +23,Member information.,会员信息。
DocType: Identification Document Type,Identification Document Type,身份证明文件类型
apps/erpnext/erpnext/utilities/bot.py +34,[{0}](#Form/Item/{0}) is out of stock,[{0}](#Form/Item/{0}) 超出了库存
apps/erpnext/erpnext/assets/doctype/asset/asset.js +87,Asset Maintenance,资产维护
,Sales Payment Summary,销售付款汇总
DocType: Restaurant,Restaurant,餐厅
DocType: Woocommerce Settings,API consumer key,API消费者密钥
apps/erpnext/erpnext/accounts/party.py +353,Due / Reference Date cannot be after {0},到期/参照日期不能迟于{0}
apps/erpnext/erpnext/config/setup.py +51,Data Import and Export,数据导入和导出
DocType: Tax Withholding Category,Account Details,科目信息
DocType: Crop,Materials Required,所需材料
apps/erpnext/erpnext/education/doctype/student_group/student_group.py +76,No students Found,没有学生
DocType: Employee Tax Exemption Declaration,Monthly HRA Exemption,每月HRA豁免
DocType: Clinical Procedure,Medical Department,科室
DocType: Supplier Scorecard Scoring Criteria,Supplier Scorecard Scoring Criteria,供应商记分卡评分标准
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +55,Invoice Posting Date,发票记帐日期
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py +25,Sell,销售
DocType: Purchase Invoice,Rounded Total,圆整后总金额
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js +91,Slots for {0} are not added to the schedule,{0}的插槽未添加到计划中
DocType: Product Bundle,List items that form the package.,本产品组合内的物料列表。
apps/erpnext/erpnext/healthcare/doctype/lab_test_template/lab_test_template.py +42,Not permitted. Please disable the Test Template,不允许。请禁用测试模板
apps/erpnext/erpnext/accounts/doctype/monthly_distribution/monthly_distribution.py +26,Percentage Allocation should be equal to 100%,百分比分配应该等于100 ％
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +593,Please select Posting Date before selecting Party,在选择往来单位之前请先选择记帐日期
DocType: Program Enrollment,School House,校区
DocType: Serial No,Out of AMC,出资产管理公司
apps/erpnext/erpnext/assets/doctype/asset/asset.py +203,Number of Depreciations Booked cannot be greater than Total Number of Depreciations,预订折旧数不能超过折旧总数更大
DocType: Purchase Order,Order Confirmation Date,订单确认日期
DocType: Driver,HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js +47,Make Maintenance Visit,创建维护巡修
DocType: Employee Transfer,Employee Transfer Details,员工转移详情
apps/erpnext/erpnext/selling/doctype/customer/customer.py +262,Please contact to the user who have Sales Master Manager {0} role,请联系，谁拥有硕士学位的销售经理{0}角色的用户
DocType: Company,Default Cash Account,默认现金科目
apps/erpnext/erpnext/config/accounts.py +79,Company (not Customer or Supplier) master.,公司(非客户或供应商)主数据。
apps/erpnext/erpnext/education/doctype/student/student_dashboard.py +6,This is based on the attendance of this Student,基于该学生的考勤
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js +179,No Students in,没有学生
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +180,Add more items or open full form,添加多条记录或转到完整表单
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +222,Delivery Notes {0} must be cancelled before cancelling this Sales Order,取消这个销售订单之前必须取消销售出货单{0}
apps/erpnext/erpnext/utilities/user_progress.py +259,Go to Users,转到用户
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +109,Paid amount + Write Off Amount can not be greater than Grand Total,支付的金额+销帐金额不能大于总金额
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +78,{0} is not a valid Batch Number for Item {1},{0}不是物料{1}的有效批号
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +199,Note: There is not enough leave balance for Leave Type {0},注意：休假期类型{0}的剩余天数不够
apps/erpnext/erpnext/regional/india/utils.py +19,Invalid GSTIN or Enter NA for Unregistered,无效的GSTIN或输入NA未注册
DocType: Training Event,Seminar,研讨会
DocType: Program Enrollment Fee,Program Enrollment Fee,学费
DocType: Item,Supplier Items,供应商物料
DocType: Material Request,MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
DocType: Opportunity,Opportunity Type,机会类型
DocType: Asset Movement,To Employee,给员工
DocType: Employee Transfer,New Company,新公司
apps/erpnext/erpnext/setup/doctype/company/delete_company_transactions.py +19,Transactions can only be deleted by the creator of the Company,交易只能由公司的创建者删除
apps/erpnext/erpnext/accounts/general_ledger.py +21,Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,总帐分录发现错误数字，可能是选择了错误的科目。
DocType: Employee,Prefered Contact Email,首选联系邮箱
DocType: Cheque Print Template,Cheque Width,支票宽度
DocType: Selling Settings,Validate Selling Price for Item against Purchase Rate or Valuation Rate,比对物料销售价，采购价与成本价
DocType: Fee Schedule,Fee Schedule,收费计划
DocType: Company,Create Chart Of Accounts Based On,基于...创建科目表
apps/erpnext/erpnext/projects/doctype/task/task.js +91,Cannot convert it to non-group. Child Tasks exist.,无法将其转换为非组。子任务存在。
apps/erpnext/erpnext/hr/doctype/employee/employee.py +122,Date of Birth cannot be greater than today.,出生日期不能大于今天。
,Stock Ageing,库龄
DocType: Travel Request,"Partially Sponsored, Require Partial Funding",部分赞助，需要部分资金
apps/erpnext/erpnext/education/doctype/student/student.py +40,Student {0} exist against student applicant {1},学生{0}存在针对学生申请{1}
DocType: Purchase Invoice,Rounding Adjustment (Company Currency),四舍五入调整（公司货币）
apps/erpnext/erpnext/projects/doctype/task/task.js +39,Timesheet,工时表
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html +243,Batch: ,批量：
DocType: Volunteer,Afternoon,下午
DocType: Loyalty Program,Loyalty Program Help,积分方案说明
apps/erpnext/erpnext/controllers/accounts_controller.py +305,{0} '{1}' is disabled,{0}“{1}”已作废
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity_list.js +13,Set as Open,设置为打开状态
DocType: Cheque Print Template,Scanned Cheque,支票扫描
DocType: Notification Control,Send automatic emails to Contacts on Submitting transactions.,交易提交时自动向联系人发送电子邮件。
DocType: Timesheet,Total Billable Amount,总可开票金额
DocType: Customer,Credit Limit and Payment Terms,信用额度和付款条款
DocType: Loyalty Program,Collection Rules,积分规则
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js +20,Item 3,物料3
apps/erpnext/erpnext/restaurant/doctype/restaurant/restaurant.js +6,Order Entry,订单输入
DocType: Purchase Order,Customer Contact Email,客户联系电子邮件
DocType: Warranty Claim,Item and Warranty Details,物料和保修
DocType: Chapter,Chapter Members,协会成员
DocType: Sales Team,Contribution (%),贡献（％）
apps/erpnext/erpnext/controllers/accounts_controller.py +133,Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,注意：未指定“现金或银行科目”，无法创建付款凭证
apps/erpnext/erpnext/projects/doctype/project/project.py +79,Project {0} already exists,项目{0}已经存在
DocType: Clinical Procedure,Nursing User,护理用户
DocType: Employee Benefit Application,Payroll Period,工资期间
DocType: Plant Analysis,Plant Analysis Criterias,植物分析标准
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +239,Serial No {0} does not belong to Batch {1},序列号{0}不属于批号{1}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +220,Responsibilities,职责
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py +125,Validity period of this quotation has ended.,此报价的有效期已经结束。
DocType: Expense Claim Account,Expense Claim Account,费用报销科目
DocType: Account,Capital Work in Progress,在途资本
DocType: Accounts Settings,Allow Stale Exchange Rates,允许使用历史汇率
DocType: Sales Person,Sales Person Name,业务员姓名
apps/erpnext/erpnext/accounts/doctype/c_form/c_form.py +54,Please enter atleast 1 invoice in the table,请在表中至少输入1个发票
apps/erpnext/erpnext/utilities/user_progress.py +247,Add Users,添加用户
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.py +74,No Lab Test created,没有创建化验
DocType: POS Item Group,Item Group,物料组
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html +19,Student Group: ,班级：
DocType: Depreciation Schedule,Finance Book Id,账簿ID
DocType: Item,Safety Stock,安全库存
DocType: Healthcare Settings,Healthcare Settings,医疗设置
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html +8,Total Allocated Leaves,总已分配休假天数
apps/erpnext/erpnext/projects/doctype/task/task.py +54,Progress % for a task cannot be more than 100.,为任务进度百分比不能超过100个。
DocType: Stock Reconciliation Item,Before reconciliation,核销前
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py +12,To {0},{0}
DocType: Purchase Invoice,Taxes and Charges Added (Company Currency),增加的税费（公司货币）
